component_name,roi_type,center_x_px,center_y_px,width_px,height_px,pixel_count,pixel_list
U16,Cursor_3x3,428.99,239.16,1,1,9,"[(428, 238), (428, 239), (428, 240), (429, 238), (429, 239), (429, 240), (430, 238), (430, 239), (430, 240)]"
U17,Cursor_3x3,200.83,264.71,1,1,9,"[(200, 264), (200, 265), (200, 266), (201, 264), (201, 265), (201, 266), (202, 264), (202, 265), (202, 266)]"
U18,Cursor_3x3,200.83,247.37,1,1,9,"[(200, 246), (200, 247), (200, 248), (201, 246), (201, 247), (201, 248), (202, 246), (202, 247), (202, 248)]"
U19,Cursor_3x3,233.86,266.48,1,1,9,"[(233, 265), (233, 266), (233, 267), (234, 265), (234, 266), (234, 267), (235, 265), (235, 266), (235, 267)]"
U20,Cursor_3x3,247.37,254.33,1,1,9,"[(246, 253), (246, 254), (246, 255), (247, 253), (247, 254), (247, 255), (248, 253), (248, 254), (248, 255)]"
U21,Cursor_3x3,320.63,264.67,1,1,9,"[(320, 264), (320, 265), (320, 266), (321, 264), (321, 265), (321, 266), (322, 264), (322, 265), (322, 266)]"
U22,Cursor_3x3,320.63,247.29,1,1,9,"[(320, 246), (320, 247), (320, 248), (321, 246), (321, 247), (321, 248), (322, 246), (322, 247), (322, 248)]"
U23,Cursor_3x3,283.40,266.18,1,1,9,"[(282, 265), (282, 266), (282, 267), (283, 265), (283, 266), (283, 267), (284, 265), (284, 266), (284, 267)]"
U24,Cursor_3x3,267.49,254.29,1,1,9,"[(266, 253), (266, 254), (266, 255), (267, 253), (267, 254), (267, 255), (268, 253), (268, 254), (268, 255)]"
U25,Cursor_3x3,428.99,256.54,1,1,9,"[(428, 256), (428, 257), (428, 258), (429, 256), (429, 257), (429, 258), (430, 256), (430, 257), (430, 258)]"
U26,Cursor_3x3,399.69,209.11,1,1,9,"[(399, 208), (399, 209), (399, 210), (400, 208), (400, 209), (400, 210), (401, 208), (401, 209), (401, 210)]"
U27,Cursor_3x3,299.70,221.26,1,1,9,"[(299, 220), (299, 221), (299, 222), (300, 220), (300, 221), (300, 222), (301, 220), (301, 221), (301, 222)]"
U28,Cursor_3x3,282.79,221.35,1,1,9,"[(282, 220), (282, 221), (282, 222), (283, 220), (283, 221), (283, 222), (284, 220), (284, 221), (284, 222)]"
U29,Cursor_3x3,204.70,221.13,1,1,9,"[(204, 220), (204, 221), (204, 222), (205, 220), (205, 221), (205, 222), (206, 220), (206, 221), (206, 222)]"
U30,Cursor_3x3,266.54,221.28,1,1,9,"[(266, 220), (266, 221), (266, 222), (267, 220), (267, 221), (267, 222), (268, 220), (268, 221), (268, 222)]"
U31,Cursor_3x3,251.07,221.39,1,1,9,"[(250, 220), (250, 221), (250, 222), (251, 220), (251, 221), (251, 222), (252, 220), (252, 221), (252, 222)]"
U32,Cursor_3x3,219.99,220.90,1,1,9,"[(219, 220), (219, 221), (219, 222), (220, 220), (220, 221), (220, 222), (221, 220), (221, 221), (221, 222)]"
U33,Cursor_3x3,235.89,220.87,1,1,9,"[(235, 220), (235, 221), (235, 222), (236, 220), (236, 221), (236, 222), (237, 220), (237, 221), (237, 222)]"
U34,Cursor_3x3,161.41,245.39,1,1,9,"[(160, 244), (160, 245), (160, 246), (161, 244), (161, 245), (161, 246), (162, 244), (162, 245), (162, 246)]"
U35,Cursor_3x3,164.04,286.28,1,1,9,"[(163, 285), (163, 286), (163, 287), (164, 285), (164, 286), (164, 287), (165, 285), (165, 286), (165, 287)]"
U36,Cursor_3x3,243.90,60.62,1,1,9,"[(243, 60), (243, 61), (243, 62), (244, 60), (244, 61), (244, 62), (245, 60), (245, 61), (245, 62)]"
U38,Cursor_3x3,256.94,252.00,1,1,9,"[(256, 251), (256, 252), (256, 253), (257, 251), (257, 252), (257, 253), (258, 251), (258, 252), (258, 253)]"
U39,Cursor_3x3,347.73,233.54,1,1,9,"[(347, 233), (347, 234), (347, 235), (348, 233), (348, 234), (348, 235), (349, 233), (349, 234), (349, 235)]"
U40,Cursor_3x3,316.13,221.26,1,1,9,"[(315, 220), (315, 221), (315, 222), (316, 220), (316, 221), (316, 222), (317, 220), (317, 221), (317, 222)]"
U200,Cursor_3x3,105.81,259.52,1,1,9,"[(105, 259), (105, 260), (105, 261), (106, 259), (106, 260), (106, 261), (107, 259), (107, 260), (107, 261)]"
Vdc,Cursor_3x3,388.38,120.06,1,1,9,"[(387, 119), (387, 120), (387, 121), (388, 119), (388, 120), (388, 121), (389, 119), (389, 120), (389, 121)]"
Vdc + limit,Cursor_3x3,390.06,181.71,1,1,9,"[(389, 181), (389, 182), (389, 183), (390, 181), (390, 182), (390, 183), (391, 181), (391, 182), (391, 183)]"
Voltage-Freq Le,Cursor_3x3,265.55,237.39,1,1,9,"[(265, 236), (265, 237), (265, 238), (266, 236), (266, 237), (266, 238), (267, 236), (267, 237), (267, 238)]"
VR1,Cursor_3x3,404.66,283.69,1,1,9,"[(404, 283), (404, 284), (404, 285), (405, 283), (405, 284), (405, 285), (406, 283), (406, 284), (406, 285)]"
VR2,Cursor_3x3,424.98,178.08,1,1,9,"[(424, 177), (424, 178), (424, 179), (425, 177), (425, 178), (425, 179), (426, 177), (426, 178), (426, 179)]"
VR3,Cursor_3x3,424.20,199.78,1,1,9,"[(423, 199), (423, 200), (423, 201), (424, 199), (424, 200), (424, 201), (425, 199), (425, 200), (425, 201)]"
VR4,Cursor_3x3,399.22,184.30,1,1,9,"[(398, 183), (398, 184), (398, 185), (399, 183), (399, 184), (399, 185), (400, 183), (400, 184), (400, 185)]"
VR5,Cursor_3x3,256.86,244.00,1,1,9,"[(256, 243), (256, 244), (256, 245), (257, 243), (257, 244), (257, 245), (258, 243), (258, 244), (258, 245)]"
VR6,Cursor_3x3,257.33,267.52,1,1,9,"[(256, 267), (256, 268), (256, 269), (257, 267), (257, 268), (257, 269), (258, 267), (258, 268), (258, 269)]"
